gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
epha4b	1701.92735576982	-0.44524648506966	0.110123467898767	-4.04315713594274	5.27362517446083e-05	0.000298469823145514
epha7	540.249388857782	0.0467942918182054	0.209995499093712	0.222834737030831	0.823664131417554	0.883952617977809
ephb2b	533.663858122638	-0.123023539692488	0.148421465321942	-0.828879700288883	0.407172483193477	0.540264656185228
ephb3a	1511.98840739074	-0.124780785670444	0.200901253570587	-0.62110506257544	0.534530498510258	0.655947683644517
ephb4a	1296.97503959933	-0.357434673552671	0.183750658000533	-1.94521574748121	0.0517490173206593	0.106734288423969
ephb4b	826.75053718282	-0.112802601409313	0.154283309028982	-0.731139370287447	0.464694028722998	0.595613884159123
ephx1	321.316678548505	0.0546082500515773	0.135852911220783	0.401965990723819	0.687709055566237	0.782628269855395
ephx2	598.90054307675	-0.978605339478181	0.153462632585155	-6.37683143442206	1.80789255754865e-10	3.51185682824386e-09
epn1	1781.41727031744	-0.853566802007754	0.0984525682298772	-8.6698276881387	4.32774812099046e-18	2.65712142446347e-16
epo	23.3131937354779	0.217367209978752	0.423140383082158	0.513699988631309	0.607461759914439	0.716564163659258
epor	90.3386845072441	-1.54112130932599	0.265014573614052	-5.81523230330106	6.05497394975384e-09	8.84952781413013e-08
eprs	9078.64666886601	-0.317419629287224	0.0905851040125476	-3.50410404389729	0.000458146321963476	0.00195867027498626
eps8	380.665195045064	-0.193437835571383	0.246803957409496	-0.783771206919638	0.433174371666169	0.565383613317341
eps8l1	454.755381944246	-0.22724568437579	0.130485027014974	-1.74154605761558	0.0815879073248329	0.154598854979116
eps8l3	44.8437721654679	0.0253817149782585	0.283724622598774	0.0894589787300616	0.928717153055985	0.956108017514706
epyc	3230.70444398898	-1.66533786160871	0.104872536742076	-15.8796374469748	8.76837481654106e-57	6.02957294259446e-54
eral1	487.595676398521	0.0690492844427927	0.128754011991235	0.536288410550601	0.591759239068024	0.703509763679192
erap1b	81.8032345379765	0.0250570458852706	0.246705106209503	0.101566790692983	0.919100540281053	0.949778837498207
erap2	67.6692764640733	-0.485511102598438	0.241694884806755	-2.00877690476	0.0445607985900158	0.0945602010505303
erbb2	845.049072083292	-0.472524456897329	0.109212291125636	-4.32666004922236	1.51387330587435e-05	9.9857551921774e-05
erbb2ip	3058.46852666367	-0.555645844363024	0.169837443610009	-3.27163334864444	0.00106928149179737	0.00406238352394729
erbb3a	931.354206448787	-0.953654078748496	0.0993762918850607	-9.59639427733426	8.27900639124932e-22	6.81803442508095e-20
erbb3b	297.793702755111	-0.874538957799219	0.184635778158533	-4.73656279688283	2.17373406659549e-06	1.79443965293444e-05
erbb4a	207.955032358492	-0.309906023740587	0.172620147097311	-1.79530621976521	0.0726049246214903	0.140918640232948
erc1a	689.916787493199	-0.518648650960159	0.112197027427573	-4.62265946657957	3.78851368394987e-06	2.92880431115023e-05
ercc1	540.626302039632	0.0760052534117496	0.115513278850672	0.657978495355537	0.510551949576915	0.636362240577426
ercc2	763.933594591433	0.0437353034643758	0.105744864790388	0.413592693612778	0.679172425011516	0.775608931427666
ercc3	1251.75879667563	0.669874427051771	0.0947122230443762	7.07273470645822	1.51909741274854e-12	4.22041330655935e-11
ercc4	525.470358184107	0.106608656235225	0.110008747699565	0.969092535498852	0.332499021697853	0.463564408590025
ercc6l	1371.54319840469	0.711334683796154	0.0942833607915816	7.54464709174503	4.53513904840548e-14	1.64136229822949e-12
ercc8	530.82293351581	-0.0608122928572195	0.106123564146342	-0.573032891859537	0.566622423545231	0.681960111229331
erf	1408.44774029597	-0.280031720793649	0.172468095165794	-1.62367260173224	0.104445701435125	0.188732325822793
erg	244.774090251804	-0.464339117905605	0.141525273721654	-3.2809625142916	0.00103453492597873	0.00394672921969084
ergic1	825.040189139184	1.35598505868208	0.0995537698480684	13.6206299445163	3.01951893474793e-42	9.65754509525308e-40
ergic2	819.227269093343	0.102760622575044	0.100552798007562	1.02195686854299	0.306801314824785	0.436794873994334
ergic3	1124.74304622059	0.754448236693158	0.0962175987893035	7.84106282204405	4.46748850217185e-15	1.87321248080395e-13
erh	4586.09873550249	0.207756239590997	0.0907969559523957	2.28814102203958	0.0221293099811696	0.0527825876120404
eri1	431.738426278104	0.35905465166547	0.112937883531702	3.17922242242729	0.0014767072951844	0.00538847318404644
eri2	99.2737996724016	0.73826359142016	0.323233930566463	2.2839916283738	0.022372022952058	0.0533060345910696
erich3	66.7313573955347	-0.658953520042129	0.250392901532736	-2.63167811870249	0.00849643170868369	0.0236877002411366
erlec1	1251.34441387672	0.509560081860565	0.0937810642254295	5.43350713781294	5.52570722655663e-08	6.57965813738817e-07
erlin1	2385.46750023813	0.218242298516943	0.0723192143266245	3.01776368215599	0.00254647397131671	0.00855856708883644
erlin2	900.30452853316	-0.152331360419894	0.146590951173434	-1.03915936966442	0.298730623204847	0.427873595181865
ern1	130.786825239772	-0.0728557707634105	0.188211735522077	-0.387094729036515	0.698686079655253	0.791257382534478
ero1a	49.6910087917464	-1.18529344107005	0.296222215424495	-4.00136579686129	6.29779107470142e-05	0.000347287572776137
ero1b	287.455218955094	0.458591008216427	0.1531444076241	2.99450051967983	0.00274894587554841	0.00915849143081813
erp44	2258.20173207862	0.28386162223473	0.0937967917902547	3.02634681652537	0.00247528206878836	0.00837043380674855
errfi1	450.630675909799	-0.0163128372222776	0.124413717092382	-0.131117674188326	0.895682219884817	0.93440928241492
es1	5.41854391732542	-0.59428644607871	0.800330693597242	-0.74255111147565	0.457753496457118	0.588638039904137
esama	327.622966869626	-0.419370822231887	0.138608212383332	-3.02558423502415	0.00248153271312952	0.00838925442013126
esco2	1510.56626371184	0.59451073850613	0.117423258913164	5.06297256615726	4.12769270424362e-07	4.04043827483718e-06
esd	1651.07709423967	-0.169892496175881	0.097170913418943	-1.74838838288373	0.0803967981390696	0.152636273441003
esf1	1002.91540823506	0.892134740469987	0.0914835760288966	9.75185688181003	1.81124480073646e-22	1.58662737226296e-20
