Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Sensory Processing of Sound	6/77	0.00168436290609905	0.03023636826558309	0	0	5.1279815113591765	32.749176433608994	CAPZB;PCDH15;CDH23;CASK;CHRNA10;CABP1
Transmission Across Chemical Synapses	12/269	0.00174795458900859	0.03063082327405536	0	0	2.8595907645853025	18.15642532332101	GABRR3;GRIP1;GNGT2;SLC32A1;CHRNA4;CASK;GNB3;SLC17A7;ADCY1;ADCY7;SLC1A7;CAMKK1
GPCR Ligand Binding	17/467	0.00199479203649736	0.03414341718283856	0	0	2.3273290598290597	14.469506249517153	PTGER4;OPN4;DHH;PTCH1;PMCH;IHH;RXFP1;GRM3;OPN1SW;GNGT2;TBXA2R;GRM6;RHO;UTS2;GNB3;S1PR4;DRD4
RUNX2 Regulates Chondrocyte Maturation	2/5	0.00261073205684711	0.04291350135374972	0	0	40.09785932721712	238.50706409004965	IHH;RUNX2
Signaling by PDGF	5/58	0.00262378744690045	0.04291350135374972	0	0	5.712205916608433	33.948418990969415	COL2A1;COL5A2;COL9A1;COL9A2;THBS4
Striated Muscle Contraction	4/36	0.00279633367366978	0.04474133877871661	0	0	7.553461538461539	44.41017015057289	MYBPC1;MYL2;TNNI2;VIM
Activation of SMO	3/18	0.00299628196305696	0.04669229142492662	0	0	12.058895705521472	70.0668038673224	DHH;PTCH1;IHH
GABA Receptor Activation	5/60	0.00304514944075608	0.04669229142492662	0	0	5.503928170594837	31.89088978568913	GABRR3;GNGT2;GNB3;ADCY1;ADCY7
Platelet Homeostasis	6/87	0.0031299110798973	0.04701254193478394	0	0	4.492604059167527	25.907727530301425	SLC8A3;GNGT2;PDE10A;TRPC3;GNB3;SLC8A2
Signaling by GPCR	22/706	0.00329157473102434	0.04845198004067841	0	0	1.9892279558831931	11.371201177625048	PTGER4;OPN4;TRPC3;DHH;PTCH1;PMCH;IHH;ADCY1;RXFP1;ADCY7;CAMKK1;GRM3;OPN1SW;GNGT2;PDE10A;TBXA2R;GRM6;RHO;UTS2;GNB3;S1PR4;DRD4
Diseases of Hemostasis	3/19	0.00351510720983937	0.05072782169493684	0	0	11.304639570552148	63.87896011766756	COL1A1;COL1A2;SERPING1
NCAM Signaling for Neurite Out-Growth	5/63	0.00376571966896335	0.05329941685301976	0	0	5.218444018731375	29.128395826266892	COL2A1;COL5A2;COL9A1;CACNA1S;COL9A2
Cellular Responses to Mechanical Stimuli	6/93	0.00435401406550515	0.05934359911503319	0	0	4.181488203266787	22.73331746904501	GNGT2;CAPNS2;GNB3;ADCY1;ADCY7;VCL
Response of Endothelial Cells to Shear Stress	6/93	0.00435401406550515	0.05934359911503319	0	0	4.181488203266787	22.73331746904501	GNGT2;CAPNS2;GNB3;ADCY1;ADCY7;VCL
Signaling by Nuclear Receptors	11/270	0.00530368070011348	0.06168868462916557	0	0	2.5926033850562153	13.583567506343254	ABCA1;GNGT2;DHRS9;EGF;SRF;PDK4;GNB3;APOD;PCK1;PDK2;ESR2
ADORA2B Mediated Anti-Inflammatory Cytokines Production	4/43	0.00535491055822735	0.06168868462916557	0	0	6.1955029585798815	32.40087755860056	GNGT2;GNB3;ADCY1;ADCY7
Activation of GABAB Receptors	4/43	0.00535491055822735	0.06168868462916557	0	0	6.1955029585798815	32.40087755860056	GNGT2;GNB3;ADCY1;ADCY7
GABA B Receptor Activation	4/43	0.00535491055822735	0.06168868462916557	0	0	6.1955029585798815	32.40087755860056	GNGT2;GNB3;ADCY1;ADCY7
Voltage Gated Potassium Channels	4/43	0.00535491055822735	0.06168868462916557	0	0	6.1955029585798815	32.40087755860056	KCNG1;KCNF1;KCNV2;KCNH5
Defective Binding of VWF Variant to GPIb IX V	2/7	0.00536423344601439	0.06168868462916557	0	0	24.056269113149845	125.76621807152328	COL1A1;COL1A2
Enhanced Binding of GP1BA Variant to VWF Multimer Collagen	2/7	0.00536423344601439	0.06168868462916557	0	0	24.056269113149845	125.76621807152328	COL1A1;COL1A2
Erythropoietin Activates Phospholipase C Gamma (PLCG)	2/7	0.00536423344601439	0.06168868462916557	0	0	24.056269113149845	125.76621807152328	IRS2;EPOR
Erythropoietin Activates STAT5	2/7	0.00536423344601439	0.06168868462916557	0	0	24.056269113149845	125.76621807152328	IRS2;EPOR
The Retinoid Cycle in Cones (Daylight Vision)	2/7	0.00536423344601439	0.06168868462916557	0	0	24.056269113149845	125.76621807152328	OPN1SW;RLBP1
Sensory Processing of Sound by Inner Hair Cells of the Cochlea	5/69	0.00556001981628165	0.06295653207358924	0	0	4.727768132716049	24.54729836167032	CAPZB;PCDH15;CDH23;CASK;CABP1
Cardiac Conduction	7/130	0.00576915416323023	0.06433481006268862	0	0	3.454931071049841	17.81096361915168	RYR1;SLC8A3;CACNG7;ATP1A4;SCN4B;KCNK3;SLC8A2
GPER1 Signaling	4/45	0.00630158729407986	0.06881178726229277	0	0	5.892682926829268	29.85795171151427	GNGT2;GNB3;ADCY1;ADCY7
G Alpha (I) Signalling Events	12/316	0.00635761077966835	0.06881178726229277	0	0	2.411630416735846	12.198274167427249	GRM3;OPN1SW;GNGT2;GRM6;PMCH;RHO;GNB3;ADCY1;ADCY7;S1PR4;CAMKK1;DRD4
Neurotransmitter Receptors and Postsynaptic Signal Transmission	9/204	0.00682302447041357	0.07133026940224699	0	0	2.809038461538462	14.009945714153924	GABRR3;GRIP1;GNGT2;CHRNA4;CASK;GNB3;ADCY1;ADCY7;CAMKK1
Thromboxane Signalling Through TP Receptor	3/24	0.0069103940192405	0.07133026940224699	0	0	8.610867659947415	42.83672980156824	GNGT2;TBXA2R;GNB3
Defects of Platelet Adhesion to Exposed Collagen	2/8	0.00707487726408156	0.07133026940224699	0	0	20.045871559633028	99.25122317255348	COL1A1;COL1A2
Release of Hh-Np From the Secreting Cell	2/8	0.00707487726408156	0.07133026940224699	0	0	20.045871559633028	99.25122317255348	DHH;IHH
Histidine Catabolism	2/8	0.00707487726408156	0.07133026940224699	0	0	20.045871559633028	99.25122317255348	HAL;UROC1
Glycogen Metabolism	3/25	0.00775834295398192	0.07669727890262147	0	0	8.21904629113218	39.93623500803849	PHKG1;GYG2;GYG1
Extra-nuclear Estrogen Signaling	5/75	0.00788655983008802	0.07669727890262147	0	0	4.321208112874779	20.925861906181225	GNGT2;EGF;SRF;GNB3;ESR2
G Alpha (Z) Signalling Events	4/48	0.00791982771277069	0.07669727890262147	0	0	5.4900699300699305	26.56307653795842	GNGT2;GNB3;ADCY1;ADCY7
Pyruvate Metabolism	4/49	0.00851436665937904	0.0813840761208179	0	0	5.367794871794872	25.582912221799333	LDHB;ME1;PDK4;PDK2
GPCR Downstream Signalling	19/633	0.00893723017236639	0.08382875195146447	0	0	1.9022958915624673	8.974137103969111	PTGER4;OPN4;TRPC3;PMCH;ADCY1;RXFP1;ADCY7;CAMKK1;GRM3;OPN1SW;GNGT2;PDE10A;TBXA2R;GRM6;RHO;UTS2;GNB3;S1PR4;DRD4
Prostanoid Ligand Receptors	2/9	0.00899792310348599	0.08382875195146447	0	0	17.181301878549586	80.93701531581212	PTGER4;TBXA2R
Neurotransmitter Release Cycle	4/51	0.00978932922034228	0.090061828827149	0	0	5.1388543371522095	23.774716069833733	SLC32A1;CASK;SLC17A7;SLC1A7
BMAL1 CLOCK,NPAS2 Activates Circadian Gene Expression	3/28	0.01065757677757045	0.09565825010112014	0	0	7.231656441717791	32.842453507947	DBP;BHLHE41;KLF15
