stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000199448	9606.ENSP00000371398	EPDR1	GLIS3	9606	0.45	0	0	0	0.047	0	0	0.447
9606.ENSP00000199448	9606.ENSP00000435389	EPDR1	PLEKHA7	9606	0.529	0	0	0	0	0	0	0.529
9606.ENSP00000211998	9606.ENSP00000435389	VCL	PLEKHA7	9606	0.404	0	0	0	0	0.292	0	0.192
9606.ENSP00000211998	9606.ENSP00000360493	VCL	RUNX2	9606	0.418	0	0	0	0.044	0	0	0.417
9606.ENSP00000211998	9606.ENSP00000362014	VCL	DNM1	9606	0.425	0	0	0	0.049	0	0	0.42
9606.ENSP00000211998	9606.ENSP00000228841	VCL	MYL2	9606	0.445	0	0	0	0.043	0.054	0	0.436
9606.ENSP00000211998	9606.ENSP00000265354	VCL	SRF	9606	0.492	0	0	0	0.074	0	0	0.474
9606.ENSP00000211998	9606.ENSP00000370891	VCL	STK35	9606	0.509	0	0	0	0	0	0	0.509
9606.ENSP00000211998	9606.ENSP00000446007	VCL	VIM	9606	0.597	0	0	0	0.116	0.065	0	0.551
9606.ENSP00000211998	9606.ENSP00000366757	VCL	LMO7	9606	0.606	0	0	0	0.074	0	0.5	0.218
9606.ENSP00000211998	9606.ENSP00000265171	VCL	EGF	9606	0.616	0	0	0	0.092	0	0	0.595
9606.ENSP00000215912	9606.ENSP00000327675	PIK3IP1	LRRC14B	9606	0.447	0	0	0	0	0	0	0.447
9606.ENSP00000216862	9606.ENSP00000360316	CYP24A1	DHCR24	9606	0.509	0	0	0	0.056	0.069	0.109	0.447
9606.ENSP00000217159	9606.ENSP00000357844	SLCO4A1	SLC16A10	9606	0.611	0	0	0	0.064	0	0	0.601
9606.ENSP00000217169	9606.ENSP00000499058	BIRC7	DIABLO	9606	0.988	0	0	0	0	0.907	0	0.879
9606.ENSP00000217420	9606.ENSP00000377779	SLC32A1	SV2B	9606	0.437	0	0	0	0.209	0	0	0.317
9606.ENSP00000217420	9606.ENSP00000332225	SLC32A1	PMCH	9606	0.486	0	0	0	0.11	0	0	0.447
9606.ENSP00000217420	9606.ENSP00000392500	SLC32A1	NLGN1	9606	0.562	0	0	0	0.128	0	0	0.519
9606.ENSP00000217420	9606.ENSP00000221485	SLC32A1	SLC17A7	9606	0.996	0	0	0	0.226	0	0.9	0.959
9606.ENSP00000219431	9606.ENSP00000355192	MPG	CACNA1S	9606	0.649	0	0	0	0	0	0	0.649
9606.ENSP00000219660	9606.ENSP00000320247	AQP8	AQP6	9606	0.413	0	0	0.179	0.044	0	0	0.311
9606.ENSP00000221485	9606.ENSP00000362014	SLC17A7	DNM1	9606	0.423	0	0	0	0.176	0	0	0.328
9606.ENSP00000221485	9606.ENSP00000355316	SLC17A7	GRM3	9606	0.452	0	0	0	0.166	0	0	0.369
9606.ENSP00000221485	9606.ENSP00000478639	SLC17A7	SLC1A7	9606	0.454	0	0	0	0	0.053	0	0.447
9606.ENSP00000221485	9606.ENSP00000359285	SLC17A7	CHRNA4	9606	0.542	0	0	0	0.158	0.047	0	0.475
9606.ENSP00000221485	9606.ENSP00000236877	SLC17A7	SLC8A2	9606	0.551	0	0	0	0.267	0	0	0.412
9606.ENSP00000221485	9606.ENSP00000377779	SLC17A7	SV2B	9606	0.604	0	0	0	0.247	0.064	0	0.484
9606.ENSP00000221485	9606.ENSP00000392500	SLC17A7	NLGN1	9606	0.62	0	0	0	0.08	0.07	0	0.591
9606.ENSP00000222122	9606.ENSP00000314420	DBP	PER1	9606	0.507	0	0	0	0.117	0.092	0	0.434
9606.ENSP00000222122	9606.ENSP00000242728	DBP	BHLHE41	9606	0.552	0	0	0	0.124	0.057	0	0.501
9606.ENSP00000222122	9606.ENSP00000226067	DBP	HLF	9606	0.592	0	0	0.055	0.114	0.506	0	0.129
9606.ENSP00000222122	9606.ENSP00000254657	DBP	PER2	9606	0.688	0	0	0	0.14	0.092	0	0.632
9606.ENSP00000222122	9606.ENSP00000482093	DBP	PER3	9606	0.706	0	0	0	0.269	0.092	0	0.592
9606.ENSP00000222122	9606.ENSP00000246672	DBP	NR1D1	9606	0.759	0	0	0	0.203	0.084	0	0.696
9606.ENSP00000222139	9606.ENSP00000250457	EPOR	EGLN3	9606	0.503	0	0	0	0.043	0.292	0	0.326
9606.ENSP00000222139	9606.ENSP00000265171	EPOR	EGF	9606	0.734	0	0	0	0.044	0	0.65	0.271
9606.ENSP00000222139	9606.ENSP00000365016	EPOR	IRS2	9606	0.919	0	0	0	0	0.292	0.8	0.475
9606.ENSP00000223061	9606.ENSP00000264094	PCOLCE	LOXL3	9606	0.5	0	0	0	0.095	0	0.4	0.153
9606.ENSP00000223061	9606.ENSP00000369889	PCOLCE	COL2A1	9606	0.557	0	0	0	0.051	0.129	0.4	0.211
9606.ENSP00000223061	9606.ENSP00000359114	PCOLCE	COL11A1	9606	0.765	0	0	0	0.101	0.129	0.4	0.56
9606.ENSP00000223061	9606.ENSP00000363840	PCOLCE	COL11A2	9606	0.8	0	0	0	0.075	0.129	0.4	0.636
9606.ENSP00000223061	9606.ENSP00000225964	PCOLCE	COL1A1	9606	0.813	0	0	0	0.448	0.129	0.4	0.428
9606.ENSP00000223061	9606.ENSP00000364000	PCOLCE	COL5A2	9606	0.857	0	0	0	0.374	0.129	0.4	0.614
9606.ENSP00000223061	9606.ENSP00000297268	PCOLCE	COL1A2	9606	0.963	0	0	0	0.396	0.129	0.4	0.896
