gene_id	WT_48hpf_R1	WT_48hpf_R2	WT_48hpf_R3	MT_48hpf_R1	MT_48hpf_R2	MT_48hpf_R3
tmem47	2935	2556	2036	1630	2120	2217
tmem5	554	449	409	202	434	320
tmem50a	2937	2489	2043	1454	2645	1943
tmem51a	441	387	343	187	324	275
tmem51b	211	186	156	119	198	140
tmem53	675	521	407	255	540	421
tmem54a	846	728	543	421	821	564
tmem54b	7	13	11	1	4	2
tmem55a	306	269	256	147	287	282
tmem55ba	906	904	701	390	574	452
tmem55bb	171	189	123	95	139	130
tmem56b	1068	1076	902	811	1105	1065
tmem57a	937	835	672	453	876	661
tmem57b	1942	1753	1548	1060	1442	1505
tmem59	2632	2307	1830	969	1615	1453
tmem59l	6181	5159	4183	2639	4751	4120
tmem60	392	348	262	205	371	287
tmem63a	570	446	411	271	375	291
tmem63c	290	246	220	140	241	187
tmem64	137	121	131	41	45	52
tmem65	494	372	381	223	321	312
tmem68	380	303	239	186	375	265
tmem69	341	241	227	152	343	223
tmem79a	183	138	92	63	146	81
tmem82	204	135	124	151	213	146
tmem86a	484	383	413	122	264	222
tmem86b	161	138	135	2	76	3
tmem88a	238	203	153	160	222	235
tmem88b	490	429	312	346	555	536
tmem8a	295	200	190	200	204	232
tmem8c	302	258	222	79	207	162
tmem9	512	374	314	170	367	307
tmem98	247	185	118	105	147	125
tmem9b	1873	1669	1374	947	1723	1331
tmf1	2582	2529	1846	968	2021	1465
tmie	110	107	99	62	90	81
tmigd1	20	16	17	4	16	10
tmod2	1006	1014	740	549	1054	815
tmod4	9768	8255	6742	2771	5779	4303
tmpoa	1740	1603	1288	1105	1525	1299
tmpob	4592	4244	3246	2861	4495	4448
tmppe	445	382	297	157	302	211
tmprss13a	192	139	130	75	147	139
tmprss13b	130	84	73	17	62	18
tmprss2	266	255	233	138	197	177
tmprss4a	684	627	464	364	690	549
tmprss4b	9	8	9	1	5	3
tmsb	2106	1828	1404	1482	2234	2005
tmsb4x	62286	55956	49711	42366	68481	53251
tmtc2	671	558	499	382	549	571
tmtc4	1386	1072	869	669	1104	1047
tmtops2a	81	62	61	27	45	30
tmtops2b	15	24	16	14	11	8
tmtops3a	1	8	6	5	5	7
tmtops3b	14	13	10	6	13	7
tmtopsa	28	25	25	4	17	13
tmub1	1357	1129	941	558	881	709
tmub2	610	490	423	214	361	282
tmx1	892	808	606	443	920	606
tmx2a	209	173	114	144	267	184
tmx2b	2962	2465	1701	1216	1883	1507
tmx3	452	358	274	50	169	100
tmx4	373	326	270	230	337	231
tnc	20711	19164	15703	7596	8709	9535
tnfa	0	1	0	0	2	1
tnfaip1	677	566	409	344	552	461
tnfaip2a	568	519	342	271	580	417
tnfaip6	318	276	200	87	257	155
tnfaip8l1	662	550	429	286	531	463
tnfaip8l2a	72.214	52.136	43.036	37	42.048	43.083
tnfaip8l2b	363	366	249	215	359	286
tnfaip8l3	339	321	237	102	277	170
tnfb	22	41	5	18	29	60
tnfrsf18	1	0	0	0	0	0
tnfrsf19	1325	1207	930	563	979	855
tnfrsf1a	652	717	485	488	1230	956
tnfrsf1b	76	68	70	27	72	70
tnfrsf21	674	602	454	223	365	343
tnfrsf9a	52	66	54	49	114	71
tnfrsfa	1043	907	752	390	742	626
tnfsf10	905	680	596	399	615	558
tnfsf10l	1053	970	760	585	894	690
tnfsf10l3	45	40	31	20	31	23
tnfsf10l4	51	49	34	20	49	35
tnfsf12	201	166	140	83	145	124
tnfsf13	0	0	0	0	0	0
tnfsf13b	32	26	17	31	27	18
tnfsf18	0	1	0	0	0	0
tnika	2239	2187	1590	1000	1101	1362
tnikb	3573	3376	2527	1484	1590	1767
tnip1	4153	3960	3162	1661	2579	2446
tnk2b	1211	1192	997	391	713	576
tnks1bp1	686	571	603	421	757	576
tnmd	647	458	453	146	495	259
tnnc1a	273	208	180	190	294	267
tnnc1b	7108	5799	4836	1363	4552	2126
tnnc2	150324	129066	105023	54477	140685	74828
tnni1al	3580	3581	2637	809	2460	1052
tnni1b	351	434	283	224	384.003	416
tnni1c	1775	1534	1203	355	830.009	471
tnni1d	354	279	202	148	252	169
tnni2a.1	256	167	122	9	59.001	22
tnni2a.2	469.054	398.029	282.024	36.005	186.026	77.01
tnni2a.3	89	61	73	12	55.001	33
tnni2a.4	107063.946	102475.971	71959.976	32408.995	98216.957	51763.99
tnni2b.1	2643	2146	1733	724	1776	1039
tnni2b.2	7270	5430	4340	1601	3727	2167
tnni3k	119	94	77	19	37	30
tnnt1	2315	1768	1434	501	1597	804
tnnt2a	467	413	287	391	652	572
tnnt2d	4695	4372	3511	1456	3631	1970
tnnt2e	3774	3498	2778	684.999	2249	981
tnnt3a	29312	27676	19991	12519	29190	18476
tnnt3b	129942	113563	88918	37036	103780	57863
tnpo2	5440	5079	4124	2726	4179	3431
tnpo3	3410	3216	2587	2049	2811	2529
tnr	1801	1603	1429	488	825	737
tnrc5	725	575	496	636	1014	726
tnrc6a	453	379	365	223	218	251
tnw	37844	34982	25735	17094	22384	19344
tob1a	5619	6103	4735	1822	2706	2289
tob1b	5476	6253	5038	1643	2871	2252
toe1	618	453	349	237	332	359
tollip	829	823	563	355	654	582
tomm20	4606	4160	3369	2054	3591	2790
tomm22	2879	2562	2048	1673	3040	2018
tomm34	980	801	660	690	1693	975
tomm40	3831	3369	2815	1788	3458	2357
tomm40l	2567	2314	1798	1218	2235	1457
tomm5	1908	1600	1245	907	1506	1225
tomm6	1087	983	732	566	1193	807
tomm7	1292	1108	830	617	1035	804
tomm70a	3618	3227	2562	1955	3405	3184
tonsl	572	606	411	395	355	403
top1l	6604	5767	4445	6555	8853	8918
top1mt	109	94	82	47	103	40
top2a	12143	11599	8623	7628	10156	10025
top2b	13392	12079	9370	8204	13031	11982
topbp1	1044	1035	678	663	770	836
toporsa	579	578	410	276	578	359
tor1	1130	984	794	688	1237	829
tor1l1	0	1	1	0	1	0
tor1l3	1	2	1	0	2	2
tor2a	480	393	272	213	435	292
tor3a	495	446	379	262	543	481
tor4aa	358	322	252	239	419	364
tor4ab	3	1	0	0	1	0
tox	11118	10536	7862	4574	3275	4612
tox2	1262	1297	931	476	357	544
tox4b	479	527	405	247	170	228
tp53	3216	3084	2317	2300	3005	2639
tp53bp1	3913	3655	2854	1834	2224	2415
tp53bp2a	3278	3032	2573	2330	2817	1849
tp53bp2b	252.516	198.818	173.481	98.255	64.34	149.801
tp53i11a	751	723	532	406	663	574
tp53i11b	419	405	323	153	323	242
tp53inp1	1461	1297	1210	768	931	934
tp53rk	390	350	298	211	434	325
tp63	3746	3782.001	2781	1781	2291	2149.999
tp73	212	214	145	63	106	96
tpbgb	713	570	467	418	833	660
tpbgl	519	496	373	337	480	402
tpcn2	472	394	316	233	488	407
tpd52	737	678	475	358	675	504
tpd52l1	499	430	328	156	281	214
tpd52l2a	2112	1946	1348	1144	1931	1495
tpd52l2b	6910	6190	5034	3415	5995	4831
tpgs2	178	140	107	75	148	121
tph1a	97	78	57	21	46	41
tph1b	160	130	83	53	97	89
tph2	256	206	139	100	168	119
tpi1a	517	443	349	163	278	226
tpi1b	19794	18116	13515	8452	15881	12297
tpk1	503.15	494.489	343.217	257.874	479.956	403.8
tpm1	3971.01	3307.01	2562	997	2863.016	1710.016
tpm2	11531	10387	8252	3298	9694	4660
tpm3	21954	20062	16769	10341	23398	13862
tpm4a	6643	6177	4565	5658	10901	7711
tpm4b	748	666	536	326	693	380
tpma	297438.989	258347.99	209587	93913	261244.984	142123.984
tpmt.1	412.783	321.7	277.814	113.987	293.628	119
tpmt.2	36.217	19.3	16.186	2.013	25.372	0
tpp1	1451	1263	1070	778	1161	1140
tppp3	1304	1101	832	101	172	125
tpra1	738	629	580	356	516	448
tprb	7102.335	6636.043	5052.893	3560.647	3980.507	4523.664
tprg1	412	373	292	175	371	296
tprkb	431	391	310	250	441	381
tpst1	1674	1488	1209	948	991	1190
tpst1l	1139	1011	785	492	750	639
tpst2	108	89	70	48	57	68
tpt1	145785	144263	101886	89362	144386	119363
tpte	1530	1644	1143	881	1355	1055
tra2a	3042	2727	2180	2615	3664	3362
tra2b	1221	968	844	1071	1362	1451
trabd	624	531	387	375	692	512
trabd2b	556	492	434	216	344	278
tradd	386	379	306	223	454	307
traf1	20	28	13	14	15	11
traf3	414	413	284	218	396	297
traf3ip1	279	292	202	137	329	223
traf4a	2310	2234	1734	1079	1813	1634
traf4b	338	290	210	118	195	152
traf6	381	350	302	201	332	270
traf7	1753	1658	1243	884	1632	1357
trafd1	1440	1279	1027	541	999	798
traip	364	354	233	273	405	292
tram1	1889	1763	1416	2486	3400	2798
tram2	759	592	461	729	1139	962
trap1	2245	2046	1620	1174	2414	1740
trappc1	988	812	636	494	871	657
trappc11	2952	2756	2046	1349	2279	1918
trappc12	1402	1213	1006	540	1043	710
trappc13	1330	1120	843	605	1046	862
trappc2	1090	987	755	529	757	747
trappc2l	511	420	329	213	391	291
trappc3	1624	1528	1061	527	872	665
trappc4	1223	1054	812	532	977	770
trappc5	1524	1344	1088	644	1384	958
trappc6b	592	473	447	387	652	497
trappc6bl	607	521	379	268	499	370
trdmt1	264	203	171	97	254	160
trh	125	116	94	55	92	78
trhr2	53	48	38	8	22	22
trhrb	12	8	5	9	8	9
triap1	298	277	202	204	332	279
trib3	1628	1665	1217	1228	1534	1623
trim101	1304	1150	819	443	1064	559
trim105	256	228	156	112	242	137
trim108	14	24	18	7	11	6
trim109	348	354	254	89	242	141
trim13	422	381	314	171	313	213
trim23	915	787	626	325	643	501
trim24	1897	1911	1427	875	702	998
trim25	264	186	152	146	302	223
trim2a	252	192	187	63	94	88
trim33	3921	3717	2886	2117	1769	2453
trim35-1	135	127	71	0	0	0
trim35-19	2.028	2.184	1	1	1	2.073
trim35-20	29.263	32.206	21.806	23.454	34.846	25.122
trim35-21	16.25	9	7	10	15	20
trim35-22	0	0	1	0	0	0
trim35-23	3.042	2.164	0	2	9	7.28
trim35-24	17.231	11.942	10	18	22	24.324
trim35-27	83	80	54	50	72	51
trim35-28	676	571	418	358	602	443
trim35-29	13	20	8	3	13	6
trim35-30	10	3	11	1	11	5
trim35-31	6	4	11	7	2	3
trim35-35	0	0	0	0	2.222	0
trim35-36	0	0	0	0	0	2.275
trim35-39	173	163	129	57	124	83
trim35-7	45	68	42	58	95	88
trim36	1220	1076	1202	475	432	553
trim3b	2506	2230	1792	991	1557	1437
trim44	932	798	672	385	581	684
trim46b	731	607	529	189	270	282
trim47	916	707	595	486	900	667
trim54	11	7	10	2	7	2
trim55a	1182	1150	917	372	795	576
trim55b	831	836	550	206	488	377
trim62	266	217	194	108	142	92
trim63a	2271	2223	1558	476	1364	810
trim63b	1804	2116	1523	405	1219	653
trim69	191	163	125	46	74	82
trim71	3813	4507	3062	2486	2261	2704
trim8	4532.588	4301.855	3396.613	2062.687	2395.858	2721
trim8a	625	572	472	358	426	445
trim8b	513.412	234.145	136.387	292.313	188.142	0
trim9	1061	928	749	334	393	453
trioa	3437	3488	2770	1600	1693	1994
triobpb	731	683	552	340	483	404
trip10a	742	745	545	355	649	528
trip10b	230	184	127	72	134	105
trip11	4476	4155	3273	1819	3132	2407
trip13	354	412	280	349	471	356
trip4	340	341	226	224	406	270
triqk	460	407	296	257	469	328
trit1	628	614	382	348	622	549
trmt10b	149	123	103	61	116	89
trmt10c	423	420	319	155	210	208
trmt11	400	386	275	253	449	318
trmt112	995	830	626	418	843	552
trmt12	137	113	81	80	126	116
trmt13	408	367.615	250.065	250.788	368.358	344.223
trmt2a	560	462	365	301	561	416
trmt2b	165	100	100	95	153	139
trmt44	419	357	314	279	411	402
trmt5	465	455	307	268	478	363
trmt6	396	371	282	195	384	297
trmt61a	560	462	377	309	578	399
trmu	573	542	403	190	412	223
trnau1apa	481	383	299	299	558	376
trnau1apb	3260	2845	2282	1946	3072	2456
trnt1	560	528	423	423	710	580
trove2	569	456	357	348	507	432
trpa1a	280	224	190	110	218	152
trpa1b	86	73	71	47	92	53
trpc1	589	486	424	207	373	323
trpc2b	40	46	39	24	29	50
trpc3	106	97	86	16	34	22
trpc4a	270	233	193	82	164	97
trpc4apa	3448	3058	2369	1531	2899	2118
trpc4apb	2068	2032	1476	646	1111	1106
trpc4b	60	53	43	22	36	38
trpc5a	50	36	31	16	21	21
trpc6a	131	119	99	37	70	56
trpc7a	15	17	16	13	23	18
trpc7b	142	118	95	33	70	60
trpm1a	69	60	29	15	15	37
trpm1b	1284	969	823	425	529	609
trpm2	305	248	203	143	152	158
trpm4a	2089	1837	1540	614	869	965
trpm4b.2	471	478	372	276	368	371
trpm5	19	18	15	5	6	4
trpm7	2571	2233	1891	799	868	1019
trpn1	30	38	25	29	21	46
trps1	734	788	576	459	357	522
trpt1	317	300	224	139	285	250
trpv1	70	56	57	59	66	53
trpv4	611	569	467	255	425	247
trpv6	289	262	160	201	322	305
trub1	346	288	172	174	312	272
trub2	639	655	511	358	715	480
try	171	132	111	40	168	52
tsc1a	2064	1830	1411	714	1128	1045
tsc1b	2020	1946	1549	576	552	754
tsc22d1	3515	3817	3053	1741	3001	2348
tsc22d2	3114	3130	2424	1142	1669	1336
tsc22d3	3758	4570	3157	1978	3704	2453
tsen15	166	157	112	75	128	130
tsen2	163	158	116	92	167	127
tsen54	260	237	208	167	252	150
tsfm	885	714	573	558	1133	806
tsg101a	2723	2523	1958	1085	2175	1533
tsga10	64	56	39	27	42	43
tshba	37	22	19	20	19	14
tshr	33	29	17	4	10	15
tshz1	3954	4342	2870	1944	3326	2756
tshz3b	3232	3165	2400	1405	2228	2039
tsku	857	757	599	376	780	527
tsn	1520	1262	1072	669	1239	1025
tsnax	487	395	333	224	330	310
tsnaxip1	247	256	173	72	90	92
tspan11	226	161	166	83	149	76
tspan12	447	343	304	135	365	201
tspan13a	313	303	215	249	450	421
tspan13b	687	570	439	382	615	559
tspan14	2164	1880	1333	1213	2009	1491
tspan15	375	357	273	163	336	256
